Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2022-05-04,1307.3648681640625,707.95751953125,1419.5767822265625,1234.714599609375,3193.429931640625
2022-05-05,1304.4241943359375,712.4051513671875,1465.4306640625,1210.53515625,3224.310791015625
2022-05-06,1270.342041015625,703.0698852539062,1426.325439453125,1201.2529296875,3150.159423828125
2022-05-09,1272.5113525390625,694.3701171875,1451.748291015625,1154.3377685546875,3161.631103515625
2022-05-10,1292.9510498046875,695.2987670898438,1435.708740234375,1134.3294677734375,3155.803466796875
2022-05-11,1300.230224609375,698.1336059570312,1411.4412841796875,1122.7095947265625,3131.254638671875
2022-05-12,1270.9212646484375,680.1473999023438,1394.846923828125,1099.83642578125,3128.179931640625
2022-05-13,1259.5096435546875,662.1124877929688,1390.779296875,1112.3043212890625,3133.91552734375
2022-05-16,1272.9205322265625,667.6353759765625,1376.634765625,1112.579345703125,3098.95068359375
2022-05-17,1281.6011962890625,694.0280151367188,1403.7681884765625,1159.3111572265625,3167.595703125
2022-05-18,1281.503662109375,691.4376220703125,1395.216796875,1163.5283203125,3165.02685546875
2022-05-19,1255.3157958984375,674.771240234375,1319.3636474609375,1136.7130126953125,2993.55078125
2022-05-20,1288.3797607421875,693.588134765625,1345.2490234375,1202.9947509765625,3022.046142578125
2022-05-23,1271.8477783203125,695.054443359375,1357.4981689453125,1194.9503173828125,3048.4306640625
2022-05-24,1286.4290771484375,692.2196655273438,1332.1676025390625,1199.052734375,3017.457275390625
2022-05-25,1296.0362548828125,697.3026733398438,1303.9249267578125,1197.2879638671875,2926.59130859375
2022-05-26,1333.001708984375,712.1118774414062,1316.4052734375,1185.874267578125,2981.37890625
2022-05-27,1357.726806640625,723.1576538085938,1350.9808349609375,1180.373779296875,3013.115234375
2022-05-30,1366.9925537109375,731.6619873046875,1411.48779296875,1221.490478515625,3118.393310546875
2022-05-31,1354.703125,735.9140625,1404.7607421875,1206.75341796875,3108.322998046875
2022-06-01,1360.4576416015625,735.7186279296875,1381.357666015625,1207.1431884765625,3099.869140625
2022-06-02,1350.9481201171875,732.8837890625,1408.87158203125,1248.7640380859375,3162.509765625
2022-06-03,1346.2664794921875,727.5564575195312,1421.6708984375,1274.0665283203125,3178.354736328125
2022-06-06,1344.4620361328125,729.9513549804688,1429.4722900390625,1268.5889892578125,3169.85498046875
2022-06-07,1329.0029296875,718.7100219726562,1407.656982421875,1270.9725341796875,3106.798583984375
2022-06-08,1333.6845703125,713.08935546875,1401.3974609375,1248.6495361328125,3145.093994140625
2022-06-09,1343.73046875,716.2662353515625,1415.4114990234375,1282.890380859375,3166.2978515625
2022-06-10,1317.786376953125,703.8031005859375,1379.72265625,1244.1573486328125,3104.2119140625
2022-06-13,1293.8905029296875,672.52294921875,1330.8603515625,1220.619384765625,2974.58837890625
2022-06-14,1279.6505126953125,670.0792236328125,1345.85546875,1204.6678466796875,2966.22705078125
2022-06-15,1275.212646484375,671.789794921875,1328.711669921875,1190.09130859375,2962.30029296875
2022-06-16,1249.70751953125,663.2366943359375,1305.35498046875,1173.4522705078125,2902.893798828125
2022-06-17,1257.9490966796875,671.3987426757812,1296.1058349609375,1187.20361328125,2853.834228515625
2022-06-20,1289.55029296875,670.5191040039062,1321.1907958984375,1165.6827392578125,2875.546142578125
